OmimID	Gene
111800	-
112000	-
112010	-
112050	-
112100	-
112200	-
112203	CD80
112205	CD79A
112210	MS4A1
112240	-
112250	-
112260	BGLAP
112261	BMP2
112262	BMP4
112263	BMP3
112264	BMP1
112265	BMP5
112266	BMP6
112267	BMP7
112270	-
112300	-
112310	-
112350	-
112370	-
112410	-
112430	-
112440	-
112450	-
112500	-
112600	-
112700	-
112800	-
112900	-
112910	-
113000	-
113100	-
113200	-
113300	-
113301	-
113310	-
113400	-
113450	-
113470	-
113475	-
113477	-
113480	-
113500	-
113503	BDKRB2
113505	BDNF
113508	YWHAH
113510	-
113520	BCAT1
113530	BCAT2
113600	-
113610	-
113620	-
113630	-
113640	-
113650	-
113660	-
113670	-
113700	-
113703	RPL13
113705	BRCA1
113710	TFF1
113720	-
113721	-
113725	POU4F2
113730	UCP1
113750	-
113800	-
113810	DST
113811	COL17A1
113900	-
113950	-
113955	-
113960	-
113970	-
113995	C5AR1
114000	-
114010	CAD
114019	CDH15
114020	CDH2
114021	CDH3
114025	CTNNA2
114030	-
114050	CALB1
114051	CALB2
114065	-
114070	ANXA6
114078	CAMK2A
114080	CAMK4
114085	S100A10
114090	CAST
114100	-
114105	PPP3CA
114106	PPP3CB
114107	PPP3CC
114110	S100A6
114120	-
114130	CALCA
114131	CALCR
114140	-
114150	-
114160	CALCB
114170	CAPNS1
114180	CALM1
114181	-
114182	CALM2
114183	CALM3
114184	CALML3
114190	CALCRL
114200	-
114204	CACNA2D1
114205	CACNA1C
114206	CACNA1D
114207	CACNB1
114208	CACNA1S
114209	CACNG1
114210	S100A4
114212	CAPS
114213	CALD1
114217	CANX
114220	CAPN1
114230	CAPN2
114240	CAPN3
114250	CASQ1
114251	CASQ2
114260	-
114280	CD52
114290	-
114300	-
114350	NUP214
114400	-
114450	-
114480	-
114500	-
114550	-
114580	-
114600	-
114610	CNR1
114620	-
114650	-
114700	-
114750	CA3
114760	CA4
114761	CA5A
114770	CA7
114780	CA6
114800	CA1
114815	CA8
114830	CBR1
114835	CES1
114836	-
114840	CEL
114841	-
114850	CPA1
114851	CPA3
114852	CPB1
114855	CPE
114860	CPM
114890	CEACAM5
114900	-
115000	-
115080	-
115150	-
115195	-
115196	-
115197	-
115198	-
115200	-
115210	-
115250	-
115300	-
115310	-
115400	-
115430	-
115435	HAPLN1
115437	MATN1
115440	CSNK2A1
115441	CSNK2B
115442	CSNK2A2
115450	CSN1S1
115460	CSN2
115470	-
115500	CAT
115501	TYRP1
115645	-
115650	CTAA1
115660	CCA1
115665	CCV
115700	-
115800	-
115900	-
116100	-
116150	-
116200	-
116300	-
116400	-
116600	-
116700	-
116790	COMT
116800	-
116805	CTNNA1
116806	CTNNB1
116810	CTSB
116820	CTSH
116830	CTSG
116831	GZMH
116840	CTSD
116845	CTSS
116850	-
116860	-
116870	-
116880	CTSL
116890	CTSE
116896	CUX1
116897	CEBPA
116898	CEBPD
116899	CDKN1A
116900	CKS1B
116901	CKS2
116920	-
116930	NCAM1
116935	-
116940	CDK1
116945	MCM2
116946	CDC27
116947	CDC25A
116948	CDC34
116949	CDC25B
116950	AF8T
116951	CDK11A
116952	CDC42
116953	CDK2
116954	-
116955	CNBP
116957	RBL1
116960	MORF4
117000	-
117100	-
